Timestamp,Analog1_chA,Analog1_chB,other
1784,1670.000,1182.000,
1788,1661.000,1165.000,
1792,1669.000,1175.000,
1796,1668.000,1185.000,
1800,1680.000,1186.000,
1804,1682.000,1177.000,
1808,1685.000,1179.000,
1812,1697.000,1198.000,
1816,1699.000,1193.000,
1820,1700.000,1183.000,
1824,1697.000,1193.000,
1828,1711.000,1211.000,
1832,1710.000,1210.000,
1836,1708.000,1202.000,
1840,1709.000,1194.000,
1844,1716.000,1216.000,
1848,1732.000,1217.000,
1852,1719.000,1207.000,
1856,1720.000,1210.000,
1860,1734.000,1215.000,
1864,1736.000,1220.000,
1868,1728.000,1216.000,
1872,1723.000,1215.000,
1876,1730.000,1222.000,
1880,1746.000,1231.000,
1884,1739.000,1219.000,
1888,1737.000,1215.000,
1892,1745.000,1228.000,
1896,1747.000,1233.000,
1900,1744.000,1229.000,
1904,1735.000,1219.000,
1908,1739.000,1223.000,
1912,1743.000,1240.000,
1916,1735.000,1232.000,
1920,1731.000,1222.000,
1924,1743.000,1218.000,
1928,1770.000,1237.000,
1932,1806.000,1259.000,
1936,1823.000,1260.000,
1940,1855.000,1272.000,
1944,1908.000,1297.000,
1948,1950.000,1344.000,
1952,1990.000,1351.000,
1956,2023.000,1364.000,
1960,2078.000,1412.000,
1964,2136.000,1439.000,
1968,2181.000,1472.000,
1972,2229.000,1488.000,
1976,2276.000,1528.000,
1980,2329.000,1568.000,
1984,2376.000,1590.000,
1988,2411.000,1603.000,
1992,2448.000,1623.000,
1996,2486.000,1675.000,
2000,2534.000,1690.000,
2004,2552.000,1699.000,
2008,2562.000,1717.000,
2012,2585.000,1736.000,
2016,2597.000,1753.000,
2020,2595.000,1751.000,
2024,2598.000,1759.000,
2028,2604.000,1769.000,
2032,2600.000,1778.000,
2036,2579.000,1765.000,
2040,2560.000,1759.000,
2044,2549.000,1768.000,
2048,2532.000,1756.000,
2052,2494.000,1737.000,
2056,2469.000,1724.000,
2060,2447.000,1718.000,
2064,2427.000,1705.000,
2068,2393.000,1678.000,
2072,2361.000,1653.000,
2076,2325.000,1644.000,
2080,2304.000,1635.000,
2084,2267.000,1611.000,
2088,2233.000,1584.000,
2092,2210.000,1560.000,
2096,2188.000,1554.000,
2100,2149.000,1531.000,
2104,2128.000,1509.000,
2108,2094.000,1494.000,
2112,2088.000,1486.000,
2116,2065.000,1476.000,
2120,2039.000,1442.000,
2124,2017.000,1431.000,
2128,2002.000,1438.000,
2132,1986.000,1419.000,
2136,1959.000,1400.000,
2140,1943.000,1382.000,
2144,1936.000,1388.000,
2148,1915.000,1369.000,
2152,1893.000,1349.000,
2156,1869.000,1335.000,
2160,1861.000,1336.000,
2164,1767.000,1245.000,
2168,1776.000,1240.000,
2172,1779.000,1240.000,
2176,1783.000,1242.000,
2180,1793.000,1262.000,
2184,1803.000,1259.000,
2188,1801.000,1251.000,
