Timestamp,Analog1_chA,Analog1_chB
1988,3270.000,2185.000,
1992,3272.000,2191.000,
1996,3270.000,2208.000,
2000,3264.000,2201.000,
2004,3279.000,2203.000,
2008,3276.000,2191.000,
2012,3279.000,2204.000,
2016,3276.000,2220.000,
2020,3277.000,2209.000,
2024,3277.000,2190.000,
2028,3280.000,2200.000,
2032,3282.000,2225.000,
2036,3277.000,2216.000,
2040,3282.000,2190.000,
2044,3288.000,2193.000,
2048,3281.000,2216.000,
2052,3280.000,2210.000,
2056,3280.000,2187.000,
2060,3274.000,2193.000,
2064,3276.000,2216.000,
2068,3271.000,2210.000,
2072,3277.000,2200.000,
2076,3280.000,2191.000,
2080,3280.000,2209.000,
2084,3265.000,2212.000,
2088,3268.000,2204.000,
2092,3274.000,2191.000,
2096,3286.000,2194.000,
2100,3274.000,2212.000,
2104,3276.000,2212.000,
2108,3281.000,2199.000,
2112,3287.000,2204.000,
2116,3292.000,2213.000,
2120,3289.000,2215.000,
2124,3297.000,2216.000,
2128,3308.000,2203.000,
2132,3319.000,2219.000,
2136,3334.000,2232.000,
2140,3348.000,2232.000,
2144,3358.000,2233.000,
2148,3373.000,2245.000,
2152,3385.000,2264.000,
2156,3407.000,2258.000,
2160,3423.000,2260.000,
2164,3436.000,2276.000,
2168,3443.000,2304.000,
2172,3466.000,2296.000,
2176,3470.000,2283.000,
2180,3490.000,2303.000,
2184,3488.000,2323.000,
2188,3496.000,2316.000,
2192,3500.000,2309.000,
2196,3498.000,2318.000,
2200,3495.000,2333.000,
2204,3493.000,2327.000,
2208,3488.000,2312.000,
2212,3478.000,2310.000,
2216,3467.000,2325.000,
2220,3453.000,2313.000,
2224,3435.000,2295.000,
2228,3413.000,2292.000,
2232,3393.000,2302.000,
2236,3389.000,2298.000,
2240,3361.000,2263.000,
2244,3342.000,2245.000,
2248,3319.000,2256.000,
2252,3293.000,2256.000,
2256,3280.000,2214.000,
2260,3257.000,2203.000,
2264,3236.000,2207.000,
2268,3226.000,2208.000,
2272,3213.000,2184.000,
2276,3205.000,2164.000,
2280,3186.000,2166.000,
2284,3169.000,2181.000,
2288,3164.000,2156.000,
2292,3164.000,2123.000,
2296,3152.000,2140.000,
2300,3150.000,2151.000,
2304,3145.000,2139.000,
2308,3145.000,2119.000,
2312,3151.000,2132.000,
2316,3158.000,2152.000,
2320,3163.000,2145.000,
2324,3295.000,2203.000,
2328,3303.000,2209.000,
2332,3303.000,2224.000,
2336,3298.000,2229.000,
2340,3315.000,2213.000,
2344,3305.000,2211.000,
2348,3316.000,2220.000,
2352,3314.000,2234.000,
2356,3317.000,2221.000,
2360,3320.000,2216.000,
2364,3315.000,2223.000,
2368,3307.000,2228.000,
2372,3317.000,2227.000,
2376,3323.000,2207.000,
2380,3319.000,2222.000,
2384,3310.000,2235.000,
2388,3316.000,2229.000,
2392,3313.000,2218.000,
2396,3307.000,2216.000,
2400,3313.000,2231.000,
2404,3303.000,2235.000,
2408,3312.000,2210.000,
2412,3296.000,2211.000,
2416,3296.000,2229.000,
2420,3295.000,2228.000,
2424,3290.000,2207.000,
2428,3284.000,2199.000,
2432,3275.000,2220.000,
2436,3283.000,2214.000,
2440,3277.000,2200.000,
2444,3272.000,2197.000,
2448,3269.000,2203.000,
2452,3268.000,2218.000,
2456,3265.000,2206.000,
2460,3271.000,2188.000,
2464,3267.000,2202.000,
2468,3260.000,2212.000,
2472,3271.000,2203.000,
2476,3263.000,2189.000,
2480,3270.000,2200.000,
2484,3259.000,2201.000,
2488,3266.000,2206.000,
2492,3276.000,2195.000,
2496,3275.000,2185.000,
2500,3277.000,2194.000,
2504,3279.000,2215.000,
2508,3290.000,2204.000,
2512,3284.000,2194.000,
2516,3290.000,2208.000,
2520,3295.000,2227.000,
2524,3287.000,2212.000,
2528,3295.000,2197.000,
2532,3290.000,2204.000,
2536,3292.000,2223.000,
2540,3288.000,2219.000,
2544,3306.000,2198.000,
2548,3285.000,2203.000,
2552,3296.000,2225.000,
2556,3291.000,2219.000,
2560,3297.000,2198.000,
2564,3277.000,2184.000,
2568,3281.000,2200.000,
2572,3279.000,2217.000,
2576,3277.000,2210.000,
2580,3294.000,2193.000,
2584,3285.000,2202.000,
2588,3285.000,2224.000,
2592,3287.000,2210.000,
2596,3298.000,2199.000,
2600,3298.000,2203.000,
2604,3294.000,2224.000,
2608,3296.000,2215.000,
2612,3297.000,2205.000,
2616,3298.000,2205.000,
2620,3295.000,2220.000,
2624,3309.000,2226.000,
2628,3304.000,2205.000,
2632,3294.000,2199.000,
2636,3293.000,2216.000,
2640,3290.000,2225.000,
2644,3298.000,2203.000,
2648,3288.000,2197.000,
2652,3290.000,2219.000,
2656,3288.000,2214.000,
2660,3286.000,2196.000,
2664,3287.000,2196.000,
2668,3284.000,2211.000,
2672,3296.000,2220.000,
2676,3291.000,2199.000,
2680,3285.000,2195.000,
2684,3296.000,2209.000,
2688,3286.000,2218.000,
2692,3277.000,2204.000,
2696,3296.000,2195.000,
2700,3289.000,2205.000,
2704,3285.000,2224.000,
2708,3287.000,2217.000,
2712,3306.000,2197.000,
2716,3304.000,2209.000,
2720,3304.000,2229.000,
2724,3501.000,2345.000,
2728,3502.000,2324.000,
2732,3498.000,2313.000,
2736,3479.000,2328.000,
2740,3473.000,2336.000,
2744,3472.000,2311.000,
2748,3450.000,2296.000,
2752,3434.000,2299.000,
2756,3416.000,2312.000,
2760,3402.000,2296.000,
2764,3391.000,2263.000,
2768,3368.000,2270.000,
2772,3348.000,2273.000,
2776,3330.000,2255.000,
2780,3311.000,2237.000,
2784,3300.000,2224.000,
2788,3277.000,2230.000,
2792,3264.000,2219.000,
2796,3258.000,2197.000,
2800,3236.000,2196.000,
2804,3223.000,2197.000,
2808,3211.000,2191.000,
2812,3224.000,2176.000,
2816,3212.000,2158.000,
2820,3199.000,2178.000,
2824,3199.000,2171.000,
2828,3193.000,2156.000,
2832,3200.000,2149.000,
2836,3204.000,2166.000,
2840,3202.000,2176.000,
2844,3203.000,2157.000,
2848,3211.000,2153.000,
2852,3210.000,2163.000,
2856,3223.000,2184.000,
2860,3240.000,2167.000,
2864,3242.000,2158.000,
2868,3247.000,2178.000,
2872,3252.000,2191.000,
2876,3259.000,2192.000,
2880,3268.000,2177.000,
2884,3273.000,2192.000,
2888,3284.000,2212.000,
2892,3283.000,2201.000,
2896,3284.000,2193.000,
2900,3295.000,2203.000,
2904,3303.000,2228.000,
2908,3309.000,2225.000,
2912,3315.000,2204.000,
2916,3316.000,2208.000,
2920,3313.000,2230.000,
2924,3311.000,2223.000,
2928,3320.000,2217.000,
2932,3322.000,2219.000,
2936,3312.000,2232.000,
2940,3318.000,2232.000,
2944,3312.000,2224.000,
2948,3311.000,2219.000,
2952,3320.000,2232.000,
2956,3312.000,2244.000,
2960,3311.000,2230.000,
2964,3295.000,2230.000,
2968,3287.000,2207.000,
2972,3300.000,2201.000,
2976,3289.000,2202.000,
2980,3287.000,2217.000,
2984,3291.000,2222.000,
2988,3293.000,2208.000,
2992,3294.000,2202.000,
2996,3294.000,2223.000,
3000,3289.000,2223.000,
3004,3301.000,2212.000,
3008,3292.000,2202.000,
3012,3304.000,2215.000,
3016,3298.000,2225.000,
3020,3300.000,2210.000,
3024,3299.000,2205.000,
3028,3291.000,2218.000,
3032,3308.000,2234.000,
3036,3297.000,2222.000,
3040,3306.000,2207.000,
3044,3290.000,2202.000,
3048,3285.000,2219.000,
3052,3296.000,2224.000,
3056,3295.000,2210.000,
3060,3291.000,2204.000,
3064,3301.000,2220.000,
3068,3304.000,2228.000,
3072,3298.000,2206.000,
3076,3295.000,2201.000,
3080,3296.000,2216.000,
3084,3300.000,2226.000,
3088,3299.000,2216.000,
3092,3312.000,2207.000,
3096,3295.000,2214.000,
3100,3295.000,2228.000,
3104,3302.000,2214.000,
3108,3306.000,2199.000,
3112,3310.000,2211.000,
3116,3301.000,2231.000,
3120,3301.000,2224.000,
3124,3304.000,2211.000,
3128,3303.000,2215.000,
3132,3304.000,2234.000,
3136,3295.000,2222.000,
3140,3293.000,2204.000,
3144,3304.000,2214.000,
3148,3304.000,2229.000,
3152,3300.000,2229.000,
3156,3312.000,2207.000,
3160,3303.000,2206.000,
3164,3306.000,2226.000,
3168,3305.000,2219.000,
3172,3306.000,2220.000,
3176,3312.000,2204.000,
3180,3312.000,2223.000,
3184,3315.000,2229.000,
3188,3324.000,2216.000,
3192,3326.000,2218.000,
3196,3324.000,2234.000,
3200,3328.000,2240.000,
3204,3501.000,2338.000,
3208,3489.000,2327.000,
3212,3476.000,2316.000,
3216,3466.000,2331.000,
3220,3451.000,2320.000,
3224,3438.000,2303.000,
3228,3420.000,2286.000,
3232,3388.000,2285.000,
3236,3371.000,2287.000,
3240,3353.000,2261.000,
3244,3328.000,2239.000,
3248,3312.000,2244.000,
3252,3281.000,2245.000,
3256,3267.000,2223.000,
3260,3246.000,2198.000,
3264,3232.000,2200.000,
3268,3215.000,2208.000,
3272,3193.000,2181.000,
3276,3183.000,2165.000,
3280,3182.000,2166.000,
3284,3253.000,2187.000,
3288,3269.000,2208.000,
3292,3271.000,2188.000,
3296,3284.000,2181.000,
3300,3285.000,2201.000,
3304,3282.000,2210.000,
3308,3289.000,2200.000,
3312,3286.000,2200.000,
3316,3284.000,2208.000,
